Date,상권,행정동_코드,공실률
2016_4,건대입구,11215820,3.4
2016_4,경희대,11230710,0.4
2016_4,경희대,11230740,0.4
2016_4,군자,11215780,7.6
2016_4,군자,11215730,7.6
2016_4,군자,11215740,7.6
2016_4,군자,11215750,7.6
2016_4,목동,11470510,7.6
2016_4,목동,11470520,7.6
2016_4,목동,11470530,7.6
2016_4,목동,11470540,7.6
2016_4,목동,11470550,7.6
2016_4,사당,11590620,3.5
2016_4,사당,11650610,3.5
2016_4,사당,11620630,3.5
2016_4,성신여대,11290575,10.6
2016_4,성신여대,11290600,10.6
2016_4,수유,11305610,13.8
2016_4,수유,11305620,13.8
2016_4,수유,11305630,13.8
2016_4,용산,11170530,8.5
2016_4,용산,11170520,8.5
2016_4,용산,11170625,8.5
2016_4,용산,11170690,8.5
2016_4,이태원,11170650,16.7
2016_4,이태원,11170660,16.7
2016_4,잠실,11710650,6.8
2016_4,잠실,11710670,6.8
2016_4,잠실,11710680,6.8
2016_4,잠실,11710690,6.8
2016_4,잠실,11710710,6.8
2016_4,잠실,11710720,6.8
2016_4,장안동,11230650,6.7
2016_4,장안동,11230660,6.7
2016_4,천호,11740600,4
2016_4,천호,11740610,4
2016_4,천호,11740620,4
2016_4,청량리,11230705,8.1
2016_4,혜화동,11110650,5.3
2016_4,화곡,11500540,15.8
2016_4,화곡,11500550,15.8
2016_4,화곡,11500560,15.8
2016_4,화곡,11500570,15.8
2016_4,화곡,11500590,15.8
2016_4,화곡,11500591,15.8
2016_4,화곡,11500615,15.8
2016_4,화곡,11500593,15.8
2017_1,광화문,11110530,1.8
2017_1,동대문,11110670,10.9
2017_1,명동,11140550,5.5
2017_1,종로,11110615,4.7
2017_1,종로,11110630,4.7
2017_1,논현역,11680521,1
2017_1,논현역,11650560,1
2017_1,서초,11650510,9.4
2017_1,서초,11650520,9.4
2017_1,서초,11650530,9.4
2017_1,서초,11650531,9.4
2017_1,압구정,11680545,7.3
2017_1,압구정,11680510,7.3
2017_1,청담,11680565,4.7
2017_1,테헤란로,11680640,11.1
2017_1,테헤란로,11680650,11.1
2017_1,테헤란로,11680630,11.1
2017_1,테헤란로,11680610,11.1
2017_1,테헤란로,11680580,11.1
2017_1,테헤란로,11680590,11.1
2017_1,공덕역,11440565,5.3
2017_1,신촌,11410585,5.5
2017_1,영등포,11560535,10.9
2017_1,영등포,11560515,10.9
2017_1,홍대합정,11440660,8
2017_1,건대입구,11215710,2.9
2017_1,건대입구,11215840,2.9
2017_1,건대입구,11215820,2.9
2017_1,경희대,11230710,0.5
2017_1,경희대,11230740,0.5
2017_1,군자,11215780,2.1
2017_1,군자,11215730,2.1
2017_1,군자,11215740,2.1
2017_1,군자,11215750,2.1
2017_1,목동,11470510,5.5
2017_1,목동,11470520,5.5
2017_1,목동,11470530,5.5
2017_1,목동,11470540,5.5
2017_1,목동,11470550,5.5
2017_1,불광역,11380520,3.8
2017_1,불광역,11380570,3.8
2017_1,불광역,11380510,3.8
2017_1,사당,11590620,5
2017_1,사당,11650610,5
2017_1,사당,11620630,5
2017_1,성신여대,11290575,10.6
2017_1,성신여대,11290600,10.6
2017_1,수유,11305610,13.7
2017_1,수유,11305620,13.7
2017_1,수유,11305630,13.7
2017_1,신림역,11620645,5.6
2017_1,신림역,11620655,5.6
