총_유동인구_수,총_상주인구_수,총_직장_인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,당월_매출_금액,점포수,임대료,공실률
227333,1903,113,86,39,3130412264,140,54.9,17.2
146480,2601,241,100,39,3423286525,143,54.9,17.2
255982,599,49,108,47,10853139260,268,54.9,17.2
8017,25,127,100,45,308669416,18,54.9,17.2
609927,904,1176,101,44,43844361265,1180,60.3,8.9
2714649,1529,2558,95,49,1.23E+11,1858,60.3,8.9
274765,4668,418,98,39,2840779795,92,33.5,9
358082,2072,3,87,48,1585778238,25,33.5,9
215674,3904,310,93,50,6879179633,101,33.5,9
305783,2563,1542,125,52,4733679264,195,33.5,9
1915570,2183,4114,94,52,1.30E+11,2028,33.5,9
261507,1220,337,134,53,8446309336,186,33.5,9
267140,619,831,111,46,4440431474,106,33.5,9
873717,666,1004,107,55,31776320093,574,33.5,9
477199,1643,48,112,43,7210649237,174,33.5,9
159193,2571,138,79,48,964854073,67,23.7,7
124607,868,4118,121,56,12775808384,197,23.7,7
98812,11,13958,115,51,14755800258,223,23.7,7
170015,2634,2624,119,51,4064992003,79,23.7,7
223988,1678,4228,109,56,8710226030,164,23.7,7
36470,113,429,124,43,35062691943,476,23.7,7
300454,867,440,95,55,3332064218,53,23.7,7
33940,209,8231,109,53,1.36E+11,1218,23.7,7
377579,492,323,111,47,7609864071,138,23.7,7
121231,710,1969,123,59,4370419079,62,23.7,7
264351,1196,4691,82,48,9714352381,205,23.7,7
452765,675,6484,98,50,3440291544,66,23.7,7
198518,1074,690,113,55,6017716847,150,23.7,7
5613,819,282,107,43,4890019543,11,23.7,7
79047,3536,445,121,73,884062258,27,23.7,7
103793,683,306,119,56,5103794939,152,45.3,10
1319949,8420,5862,106,55,1.10E+11,1756,45.3,10
507254,1363,783,115,57,51733362162,752,45.3,10
185420,1282,510,107,58,21941943424,176,45.3,10
42572,1360,2321,89,53,5518592920,118,45.3,10
88869,1862,47,74,45,9889584091,147,45.3,10
76458,1122,14,67,48,8830433428,123,45.3,10
15851,221,66,55,54,2370237753,46,45.3,10
110541,1019,29,79,59,5434816669,88,45.3,10
464594,7388,1812,91,42,25775570730,416,40.6,6.3
882962,2788,5891,94,45,83889164317,1082,40.6,6.3
170324,4122,289,92,50,19663798677,335,40.6,6.3
19853,4157,3119,83,72,32495664488,675,40.6,6.3
305353,3894,5451,83,47,25761322198,308,40.6,6.3
129962,1551,195,102,40,2506275977,67,26.1,4.8
184363,2075,2975,98,42,6542760143,162,26.1,4.8
99800,2527,338,126,48,3096726547,100,26.1,4.8
97058,904,1000,113,41,6784998089,109,26.1,4.8
354894,3315,601,91,41,5450574056,137,26.1,4.8
230757,1435,11,90,44,2944261029,86,26.1,4.8
119123,2100,725,101,41,2399246197,61,26.1,4.8
216021,1090,12082,101,45,7273034692,249,26.1,4.8
336309,4491,324,109,44,4711974375,140,26.1,4.8
431811,2103,564,79,46,8984774169,106,26.1,4.8
278994,160,2409,101,43,16153394019,198,26.1,4.8
171401,2640,171,82,37,5879886463,131,26.1,4.8
156508,1823,1926,105,40,516868463,28,26.1,4.8
69411,1289,359,93,41,4074134245,76,26.1,4.8
591758,2609,540,81,43,31788674838,599,26.1,4.8
151345,2510,102,92,50,3279024830,100,26.1,4.8
135332,1910,176,99,44,4534444398,98,26.1,4.8
139179,2293,287,106,47,3186657010,80,26.1,4.8
206070,2156,381,84,43,6130579091,76,26.1,4.8
67053,2343,110,108,47,1532340457,42,26.1,4.8
177131,1577,814,87,43,11815624020,148,26.1,4.8
102981,1850,379,107,41,4602177334,73,26.1,4.8
5784481,3814,30389,135,59,1.80E+11,4043,90.3,9.8
226603,3,216,185,76,12433000958,534,90.3,9.8
96741,592,668,135,59,7528080883,214,90.3,9.8
608168,587,3053,117,50,10111247037,329,90.3,9.8
508851,348,14980,108,58,60806721922,801,90.3,9.8
28219,540,2287,115,48,2060847963,58,90.3,9.8
71745,1321,1020,103,47,8930381866,164,90.3,9.8
695555,6,1963,101,52,70009503291,617,90.3,9.8
552328,236,3353,113,52,23000066591,370,90.3,9.8
356557,592,22122,133,58,73750765398,1296,90.3,9.8
1774587,1924,1725,110,54,36114341332,831,90.3,9.8
222912,169,30,135,61,11057353103,291,90.3,9.8
126961,439,60,148,53,936651464,32,90.3,9.8
1052920,1243,14311,98,54,29255192847,571,90.3,9.8
627915,8,51,136,66,3146817901,70,90.3,9.8
904372,393,5271,123,51,19984784460,452,90.3,9.8
45404,88,320,146,67,241412434,17,90.3,9.8
381118,8,504,136,64,9020331399,144,90.3,9.8
206025,5182,276,88,46,3066596060,111,38.6,3.8
297958,5750,594,78,50,3104634011,107,38.6,3.8
95931,3490,53,86,46,2460391475,101,38.6,3.8
187263,4832,360,108,51,2836185201,104,38.6,3.8
110423,2923,432,87,42,6985476874,144,38.6,3.8
662145,5190,576,82,41,4296260365,169,38.6,3.8
955917,2112,3625,85,46,74061990343,1546,38.6,3.8
104599,4027,346,84,42,2962605662,63,38.6,3.8
169865,4926,213,80,43,7268890022,176,38.6,3.8
306466,3241,8,104,48,1641117760,78,38.6,3.8
76971,69,13,133,55,5252170379,135,38.6,3.8
253437,8355,449,78,49,5105127077,136,38.6,3.8
334814,3316,1722,73,39,12058725801,170,69.6,11
50602,797,4620,85,44,10166348616,108,69.6,11
105499,167,191,77,44,11255694413,103,69.6,11
508915,2161,947,89,48,8211690688,164,69.6,11
137700,1904,2926,86,49,19446603836,133,69.6,11
79897,1609,803,86,46,3151136179,72,69.6,11
27337,884,2450,66,45,6097267568,130,69.6,11
410802,827,7733,84,43,81492243641,745,69.6,11
144216,457,2788,86,40,9882265703,88,69.6,11
171214,245,1312,84,46,23028898687,205,69.6,11
99739,307,1025,87,52,12514584786,129,69.6,11
