"Date","상권","행정동_코드","상권_코드_명","총_유동인구_수","총_상주인구_수","총_직장_인구_수","운영_영업_개월_평균","폐업_영업_개월_평균","당월_매출_금액","점포수","공실률","임대료"
"2014_2","종로",11110630,"율곡로16길",132966,219,69,133,55,977400145,32,10.5,90.3
"2014_2","천호",11740600,"천중로39길",546580,5697,652,72,49,2543551941,112,4,38.3
"2014_2","천호",11740600,"양재대로133길",117996,5263,265,87,43,2267135057,112,4,38.3
"2014_2","천호",11740600,"구천면로36길",154411,3261,36,80,45,2098570903,110,4,38.3
"2014_2","천호",11740600,"구천면로42길",478794,4877,323,103,48,2693621925,107,4,38.3
"2014_2","천호",11740610,"천호시장",41011,14,6,128,53,4944109915,138,4,38.3
"2014_2","천호",11740610,"올림픽로77길",579142,3083,8,98,46,1720267260,81,4,38.3
"2014_2","천호",11740610,"서울 강동구 천호역_2",1136521,1938,3669,83,43,78072922944,1591,4,38.3
"2014_2","천호",11740610,"올림픽로71길",156845,3544,246,82,42,2277808451,61,4,38.3
"2014_2","천호",11740610,"구천면로41길",451600,4951,540,75,38,4191579159,188,4,38.3
"2014_2","천호",11740610,"상암로4길",196497,4549,209,75,42,6947463878,180,4,38.3
"2014_2","천호",11740610,"상암로14길",179315,2855,398,91,40,6592856060,138,4,38.3
"2014_2","천호",11740620,"진황도로27길",455317,7911,375,79,45,4132305478,128,4,38.3
"2014_2","청담",11680565,"학동사거리_2",279136,455,2804,81,37,11838118726,111,10.6,69
"2014_2","청담",11680565,"청담사거리_2",233839,307,1014,85,49,13077272019,129,10.6,69
"2014_2","청담",11680565,"청담역_2",65976,438,1746,90,43,10223428117,159,10.6,69
"2014_2","청담",11680565,"도산대로81길",73001,771,4344,76,42,9961058853,121,10.6,69
"2014_2","청담",11680565,"학동로77길",142604,1972,2948,88,45,14691216631,138,10.6,69
"2014_2","청담",11680565,"선릉로146길",413006,3381,1651,72,39,13101731594,155,10.6,69
"2014_2","청담",11680565,"삼성로147길",97040,1624,956,81,45,3185685429,63,10.6,69
"2014_2","청담",11680565,"도산대로89길",63110,893,2540,67,43,6007858598,119,10.6,69
"2014_2","청담",11680565,"압구정 로데오거리_1",751914,768,7296,81,41,86890016346,773,10.6,69
"2014_2","청담",11680565,"청담역_1",110626,166,205,78,42,11784521758,98,10.6,69
"2014_2","청담",11680565,"청담사거리_3",253597,255,1333,79,45,23661452612,204,10.6,69
"2014_2","청담",11680565,"선릉로132길",502211,2176,947,86,44,8474049688,167,10.6,69
"2014_2","청량리",11230705,"제기로21길",136466,249,221,110,58,984320980,44,6.7,43.1
"2014_2","청량리",11230705,"왕산로43길",477459,2359,932,91,44,5234518792,144,6.7,43.1
"2014_2","충무로",11140570,"서울 중구 충무로역_1",679029,259,2676,103,53,24802020322,457,7.3,28.8
"2014_2","충무로",11140570,"서울 중구 충무로역_2",1217087,352,16168,131,51,33436993429,807,7.3,28.8
"2014_2","테헤란로",11680580,"영동대로112길",452262,2470,451,99,47,11939737165,109,5.3,46.4
"2014_2","테헤란로",11680580,"삼성역_3",188335,0,8740,103,47,17276024575,173,5.3,46.4
"2014_2","테헤란로",11680580,"봉은사로109길",187383,2026,322,75,45,990111456,28,5.3,46.4
"2014_2","테헤란로",11680580,"포스코사거리_2",791401,829,7834,87,47,31567635289,357,5.3,46.4
"2014_2","테헤란로",11680580,"테헤란로81길",172016,1036,520,87,42,24685507122,214,5.3,46.4
"2014_2","테헤란로",11680590,"선정릉역_2",288712,1392,5629,81,40,13830924464,179,5.3,46.4
"2014_2","테헤란로",11680590,"선정릉역_1",106867,461,1363,79,40,2692979954,53,5.3,46.4
"2014_2","테헤란로",11680590,"봉은사로57길",106305,393,682,75,39,1885992226,49,5.3,46.4
"2014_2","테헤란로",11680590,"봉은사로68길",169850,1556,190,76,38,4996982910,94,5.3,46.4
"2014_2","테헤란로",11680590,"서울 강남구 선릉역_1",638132,1784,18377,84,43,24623519404,318,5.3,46.4
"2014_2","테헤란로",11680590,"포스코사거리_1",1348212,2747,33834,77,40,26209146752,493,5.3,46.4
"2014_2","테헤란로",11680590,"삼성로115길",228064,2258,313,81,41,5478322686,142,5.3,46.4
"2014_2","테헤란로",11680590,"학동로56길",268296,389,847,77,42,9590412934,231,5.3,46.4
"2014_2","테헤란로",11680610,"삼성로64길",192786,2494,546,79,39,9010933234,134,5.3,46.4
"2014_2","테헤란로",11680610,"영동대로65길",302274,1977,2781,92,41,7837716380,118,5.3,46.4
"2014_2","테헤란로",11680610,"삼성역_2",269693,408,17519,91,48,10082692449,101,5.3,46.4
"2014_2","테헤란로",11680610,"은마아파트입구사거리_4",130677,465,59,75,38,10712725831,103,5.3,46.4
"2014_2","테헤란로",11680610,"삼성역_1",1147295,4267,26418,86,41,35406132393,523,5.3,46.4
"2014_2","테헤란로",11680630,"서울 강남구 한티역",249073,1738,1366,72,44,37236035423,679,5.3,46.4
"2014_2","테헤란로",11680630,"삼성로75길",598799,2385,2533,67,37,6799492678,117,5.3,46.4
"2014_2","테헤란로",11680630,"선릉역_2",3576342,4705,19698,73,40,81299118012,1183,5.3,46.4
"2014_2","테헤란로",11680630,"삼성로63길",377601,3921,152,74,38,9917344464,205,5.3,46.4
"2014_2","테헤란로",11680630,"삼성로69길",551302,2850,238,73,40,12516004050,268,5.3,46.4
"2014_2","테헤란로",11680640,"서울 강남구 강남역",1901037,694,39667,77,39,84908842318,872,5.3,46.4
"2014_2","테헤란로",11680640,"서울 강남구 선릉역_2",1231191,1807,6703,77,37,57513862439,958,5.3,46.4
"2014_2","테헤란로",11680640,"서울 서초구 강남역",3114870,2680,31373,75,40,185504189503,2254,5.3,46.4
"2014_2","테헤란로",11680640,"논현로63길",263989,1666,9551,86,42,9305193733,171,5.3,46.4
"2014_2","테헤란로",11680640,"뱅뱅사거리_2",737990,1074,25221,77,38,22217733706,502,5.3,46.4
"2014_2","테헤란로",11680640,"논현로106길",277943,1949,3228,81,35,6540365696,140,5.3,46.4
"2014_2","테헤란로",11680640,"삼정역_1",131488,55,3012,92,40,9393734184,78,5.3,46.4
"2014_2","테헤란로",11680640,"역삼역_1",217479,2117,1760,82,39,15128446539,351,5.3,46.4
"2014_2","테헤란로",11680640,"서울 강남구 역삼역_1",1597171,2761,25259,76,38,70954874768,1087,5.3,46.4
"2014_2","테헤란로",11680640,"서울 강남구 역삼역_2",839508,781,26074,82,41,42262908890,539,5.3,46.4
"2014_2","테헤란로",11680650,"도곡로37길",485978,5132,3326,80,38,14247319348,349,5.3,46.4
"2014_2","테헤란로",11680650,"도곡시장",78659,259,525,107,48,7832929788,68,5.3,46.4
"2014_2","테헤란로",11680650,"선릉역_1",896125,1358,70195,64,37,25932220313,439,5.3,46.4
"2014_2","테헤란로",11680650,"역삼역_2",885026,213,4401,105,47,9772901138,114,5.3,46.4
"2014_2","테헤란로",11680650,"언주로81길",884807,4295,9138,73,39,17010539382,298,5.3,46.4
"2014_2","혜화동",11110650,"명륜길",118818,715,7,84,54,5515600362,79,3,69.9
"2014_2","혜화동",11110650,"혜화역 대학로_3",845714,383,10153,93,48,45765835038,553,3,69.9
"2014_2","혜화동",11110650,"성균관로5길",131937,623,113,90,39,4072683131,144,3,69.9
"2014_2","혜화동",11110650,"혜화역 대학로_2",291702,526,1393,89,45,5431710692,146,3,69.9
