Date,상권,임대료
2019_1,군자,31.1
2019_1,목동,34.5
2019_1,불광역,38.5
2019_1,사당,55.5
2019_1,서울대입구역,74.1
2019_1,성신여대,44.3
2019_1,수유,58
2019_1,신림역,65.2
2019_1,오류동역,36.7
2019_1,왕십리,39.3
2019_1,용산,25
2019_1,이태원,49.8
2019_1,잠실,43.5
2019_1,장안동,26.3
2019_1,천호,34.9
2019_1,청량리,46.7
2019_1,혜화동,67.6
2019_1,화곡,27.6
