Date,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수
2015_4,공릉로2길,233271,116894,116377,5730,26482,47663,54391,63277,35732
2015_4,답십리로75길,211944,104275,107671,11387,23275,41302,53375,55523,27083
2015_4,동일로100길,255343,125501,129843,7182,26970,56802,69361,71940,23091
2015_4,동일로101길,248403,119155,129249,11177,27387,52577,65890,68027,23344
2015_4,동일로112길,501326,242279,259047,18615,81969,109331,115079,117253,59083
2015_4,동일로123길,321284,158069,163213,15392,39028,61024,72737,85757,47350
2015_4,동일로130길,262201,122793,139409,15741,34359,52549,58515,67351,33683
2015_4,동일로139가길,319117,153346,165774,18968,43207,62107,70182,80526,44126
2015_4,동일로139길,203828,99419,104408,9137,25287,42068,47925,53709,25704
2015_4,동일로140길,107281,50530,56753,6195,14418,21196,23609,27194,14667
2015_4,동일로149길,64139,29686,34454,2036,7325,13915,15657,17481,7720
2015_4,동일로157길,386555,184432,202123,16937,59200,79195,84812,92329,54083
2015_4,동일로163길,208507,100365,108141,7882,27888,47149,49297,51772,24521
2015_4,망우로68길,234766,113959,120808,10332,26447,42914,55459,67405,32202
2015_4,망우로73길,82587,40014,42573,3688,7467,16108,20785,24279,10263
2015_4,면목로21길,116047,53159,62890,4906,11064,23029,32279,32895,11876
2015_4,면목로33길,247290,120846,126443,11371,22910,48406,60073,66710,37819
2015_4,면목로45길,359586,173037,186549,22685,50472,64066,78897,89331,54133
2015_4,면목로48길,177551,84678,92871,11295,23865,31660,40963,46442,23326
2015_4,면목로49길,299568,146523,153046,17322,38862,54417,67059,76490,45418
2015_4,면목로55길,122594,60470,62123,6015,15406,21836,28428,33151,17758
2015_4,면목로56길,211739,101814,109924,12987,27946,37664,49232,56028,27884
2015_4,면목로78길,243693,118964,124724,6891,24812,48565,61269,70570,31579
2015_4,봉우재로33길,422509,199479,223033,18220,64235,87919,95637,100879,55617
2015_4,봉화산로30길,106902,48554,58351,1786,8014,25402,27735,32458,11510
2015_4,봉화산로4길,129140,62805,66335,2247,11749,27524,35046,39119,13449
2015_4,봉화산로56길,448254,207213,241041,36097,48981,86008,106285,112673,58209
2015_4,사가정로42길,254728,126614,128111,11801,26459,45904,61431,70417,38717
2015_4,사가정로54길,341324,163562,177765,20911,41897,60111,77832,87936,52643
2015_4,신내로7가길,75480,34191,41286,5684,8543,15556,17938,18681,9076
2015_4,용마산로100길,210310,99950,110358,14906,30998,38855,49868,54130,21551
2015_4,용마산로112길,144226,68855,75365,7137,12385,27900,35880,43013,17914
2015_4,용마산로118길,203103,99663,103439,9972,15053,36407,51224,63210,27237
2015_4,용마산로94길,112714,54498,58218,7780,18253,20415,26949,30383,8938
2015_4,중랑천로10길,162046,81395,80651,4171,16766,35456,44883,44615,16157
2015_4,길음로7길,198383,85946,112438,15529,25460,42919,49851,40327,24298
2015_4,돌곶이로14길,88427,42959,45470,3243,11270,17111,22791,23160,10854
2015_4,돌곶이로22길,185452,92820,92632,8195,20708,34802,47308,47519,26919
2015_4,돌곶이로27길,305098,146692,158409,16669,36851,58235,77308,74529,41501
2015_4,돌곶이로28길,183426,89340,94085,9611,26097,34847,43811,44150,24909
2015_4,돌곶이로41길,72590,32002,40591,3135,4860,11315,21281,23654,8344
2015_4,돌곶이로8길,81136,39201,41934,2389,11582,14509,21208,22053,9391
2015_4,동소문로13길,158902,71784,87120,11467,28670,32989,37973,31977,15828
2015_4,동소문로15길,276208,121248,154959,27926,61814,52824,57802,45967,29875
2015_4,동소문로26가길,208525,84012,124514,22947,64218,40278,40154,30587,10347
2015_4,동소문로2길,111547,51981,59565,8536,20222,21824,26132,22959,11873
2015_4,동소문로6길,84427,38963,45465,5460,16907,17219,20344,17902,6593
2015_4,보국문로16길,155392,69948,85445,14480,22835,28505,36329,32467,20774
2015_4,보문로13길,191592,106392,85202,5797,31152,41328,48264,43957,21085
2015_4,보문로26길,92399,40604,51795,5579,16239,18669,24278,19995,7637
2015_4,보문로31길,161683,73668,88017,10185,27206,34119,41134,34571,14467
2015_4,보문로32길,136256,55376,80878,13220,38183,28381,29726,22101,4643
2015_4,삼선교로10길,233201,108539,124661,22695,50116,41166,51800,44426,22998
2015_4,삼선교로10다길,57235,24746,32491,4917,14247,9921,15182,9992,2979
2015_4,삼선교로16가길,112687,51043,61644,11031,29649,19814,25916,20505,5774
2015_4,삼양로8길,217277,93685,123591,17074,24335,48352,56588,45260,25670
2015_4,성북로8길,77560,35415,42146,4260,13715,15941,19995,17131,6515
2015_4,솔샘로6길,37504,16922,20584,2839,5185,7111,9769,8452,4146
2015_4,아리랑로4길,273281,119720,153563,27884,63827,52864,57521,45193,25994
2015_4,안암로5길,111259,64471,46787,2815,24570,25510,27937,22676,7749
2015_4,오패산로19길,244936,109820,135118,17806,32004,50270,58876,53092,32888
2015_4,오패산로3길,426815,196994,229818,27305,51459,83483,108216,99828,56529
2015_4,오패산로4길,275423,125349,150076,15849,42671,54606,67981,60904,33417
